date,state,trend_score
2017-01-01,Nevada,0.0
2017-01-08,Nevada,46.58901830282862
2017-01-15,Nevada,0.0
2017-01-22,Nevada,55.90682196339435
2017-01-29,Nevada,0.0
2017-02-05,Nevada,0.0
2017-02-12,Nevada,0.0
2017-02-19,Nevada,0.0
2017-02-26,Nevada,0.0
2017-03-05,Nevada,0.0
2017-03-12,Nevada,83.86023294509152
2017-03-19,Nevada,0.0
2017-03-26,Nevada,0.0
2017-04-02,Nevada,0.0
2017-04-09,Nevada,0.0
2017-04-16,Nevada,0.0
2017-04-23,Nevada,0.0
2017-04-30,Nevada,0.0
2017-05-07,Nevada,0.0
2017-05-14,Nevada,0.0
2017-05-21,Nevada,0.0
2017-05-28,Nevada,0.0
2017-06-04,Nevada,65.22462562396007
2017-06-11,Nevada,0.0
2017-06-18,Nevada,0.0
2017-06-25,Nevada,0.0
2017-07-02,Nevada,0.0
2017-07-09,Nevada,0.0
2017-07-16,Nevada,0.0
2017-07-23,Nevada,0.0
2017-07-30,Nevada,0.0
2017-08-06,Nevada,0.0
2017-08-13,Nevada,0.0
2017-08-20,Nevada,0.0
2017-08-27,Nevada,0.0
2017-09-03,Nevada,0.0
2017-09-10,Nevada,0.0
2017-09-17,Nevada,0.0
2017-09-24,Nevada,0.0
2017-10-01,Nevada,0.0
2017-10-08,Nevada,0.0
2017-10-15,Nevada,0.0
2017-10-22,Nevada,0.0
2017-10-29,Nevada,0.0
2017-11-05,Nevada,0.0
2017-11-12,Nevada,0.0
2017-11-19,Nevada,0.0
2017-11-26,Nevada,0.0
2017-12-03,Nevada,0.0
2017-12-10,Nevada,0.0
2017-12-17,Nevada,0.0
2017-12-24,Nevada,0.0
2017-12-31,Nevada,0.0
2018-01-07,Nevada,0.0
2018-01-14,Nevada,0.0
2018-01-21,Nevada,0.0
2018-01-28,Nevada,0.0
2018-02-04,Nevada,0.0
2018-02-11,Nevada,0.0
2018-02-18,Nevada,0.0
2018-02-25,Nevada,0.0
2018-03-04,Nevada,0.0
2018-03-11,Nevada,0.0
2018-03-18,Nevada,0.0
2018-03-25,Nevada,0.0
2018-04-01,Nevada,46.58901830282862
2018-04-08,Nevada,0.0
2018-04-15,Nevada,0.0
2018-04-22,Nevada,0.0
2018-04-29,Nevada,0.0
2018-05-06,Nevada,0.0
2018-05-13,Nevada,0.0
2018-05-20,Nevada,0.0
2018-05-27,Nevada,0.0
2018-06-03,Nevada,0.0
2018-06-10,Nevada,0.0
2018-06-17,Nevada,0.0
2018-06-24,Nevada,0.0
2018-07-01,Nevada,0.0
2018-07-08,Nevada,0.0
2018-07-15,Nevada,0.0
2018-07-22,Nevada,0.0
2018-07-29,Nevada,0.0
2018-08-05,Nevada,0.0
2018-08-12,Nevada,0.0
2018-08-19,Nevada,0.0
2018-08-26,Nevada,46.58901830282862
2018-09-02,Nevada,0.0
2018-09-09,Nevada,0.0
2018-09-16,Nevada,0.0
2018-09-23,Nevada,0.0
2018-09-30,Nevada,0.0
2018-10-07,Nevada,0.0
2018-10-14,Nevada,0.0
2018-10-21,Nevada,0.0
2018-10-28,Nevada,0.0
2018-11-04,Nevada,0.0
2018-11-11,Nevada,0.0
2018-11-18,Nevada,0.0
2018-11-25,Nevada,0.0
2018-12-02,Nevada,0.0
2018-12-09,Nevada,0.0
2018-12-16,Nevada,0.0
2018-12-23,Nevada,0.0
2018-12-30,Nevada,0.0
2019-01-06,Nevada,0.0
2019-01-13,Nevada,0.0
2019-01-20,Nevada,0.0
2019-01-27,Nevada,0.0
2019-02-03,Nevada,0.0
2019-02-10,Nevada,0.0
2019-02-17,Nevada,0.0
2019-02-24,Nevada,0.0
2019-03-03,Nevada,0.0
2019-03-10,Nevada,0.0
2019-03-17,Nevada,0.0
2019-03-24,Nevada,0.0
2019-03-31,Nevada,0.0
2019-04-07,Nevada,0.0
2019-04-14,Nevada,0.0
2019-04-21,Nevada,0.0
2019-04-28,Nevada,46.58901830282862
2019-05-05,Nevada,0.0
2019-05-12,Nevada,0.0
2019-05-19,Nevada,0.0
2019-05-26,Nevada,0.0
2019-06-02,Nevada,0.0
2019-06-09,Nevada,0.0
2019-06-16,Nevada,0.0
2019-06-23,Nevada,0.0
2019-06-30,Nevada,0.0
2019-07-07,Nevada,0.0
2019-07-14,Nevada,46.58901830282862
2019-07-21,Nevada,0.0
2019-07-28,Nevada,0.0
2019-08-04,Nevada,0.0
2019-08-11,Nevada,37.2712146422629
2019-08-18,Nevada,0.0
2019-08-25,Nevada,0.0
2019-09-01,Nevada,0.0
2019-09-08,Nevada,0.0
2019-09-15,Nevada,0.0
2019-09-22,Nevada,0.0
2019-09-29,Nevada,0.0
2019-10-06,Nevada,0.0
2019-10-13,Nevada,37.2712146422629
2019-10-20,Nevada,46.58901830282862
2019-10-27,Nevada,0.0
2019-11-03,Nevada,0.0
2019-11-10,Nevada,0.0
2019-11-17,Nevada,0.0
2019-11-24,Nevada,0.0
2019-12-01,Nevada,0.0
2019-12-08,Nevada,0.0
2019-12-15,Nevada,0.0
2019-12-22,Nevada,46.58901830282862
2019-12-29,Nevada,0.0
2020-01-05,Nevada,65.22462562396007
2020-01-12,Nevada,0.0
2020-01-19,Nevada,0.0
2020-01-26,Nevada,37.2712146422629
2020-02-02,Nevada,0.0
2020-02-09,Nevada,0.0
2020-02-16,Nevada,37.2712146422629
2020-02-23,Nevada,0.0
2020-03-01,Nevada,0.0
2020-03-08,Nevada,46.58901830282862
2020-03-15,Nevada,931.7803660565725
2020-03-22,Nevada,913.144758735441
2020-03-29,Nevada,922.4625623960067
2020-04-05,Nevada,642.928452579035
2020-04-12,Nevada,698.8352745424294
2020-04-19,Nevada,568.3860232945092
2020-04-26,Nevada,409.9833610648919
2020-05-03,Nevada,344.7587354409318
2020-05-10,Nevada,391.34775374376045
2020-05-17,Nevada,335.4409317803661
2020-05-24,Nevada,288.85191347753744
2020-05-31,Nevada,214.30948419301166
2020-06-07,Nevada,195.67387687188022
2020-06-14,Nevada,195.67387687188022
2020-06-21,Nevada,167.72046589018305
2020-06-28,Nevada,195.67387687188022
2020-07-05,Nevada,223.6272878535774
2020-07-12,Nevada,167.72046589018305
2020-07-19,Nevada,167.72046589018305
2020-07-26,Nevada,130.44925124792013
2020-08-02,Nevada,167.72046589018305
2020-08-09,Nevada,139.76705490848587
2020-08-16,Nevada,139.76705490848587
2020-08-23,Nevada,111.8136439267887
2020-08-30,Nevada,111.8136439267887
2020-09-06,Nevada,83.86023294509152
2020-09-13,Nevada,102.49584026622297
2020-09-20,Nevada,121.13144758735442
2020-09-27,Nevada,93.17803660565724
2020-10-04,Nevada,102.49584026622297
2020-10-11,Nevada,93.17803660565724
2020-10-18,Nevada,93.17803660565724
2020-10-25,Nevada,93.17803660565724
2020-11-01,Nevada,37.2712146422629
2020-11-08,Nevada,65.22462562396007
2020-11-15,Nevada,65.22462562396007
2020-11-22,Nevada,83.86023294509152
2020-11-29,Nevada,65.22462562396007
2020-12-06,Nevada,83.86023294509152
2020-12-13,Nevada,74.5424292845258
2020-12-20,Nevada,111.8136439267887
2020-12-27,Nevada,102.49584026622297
2021-01-03,Nevada,93.17803660565724
2021-01-10,Nevada,102.49584026622297
2021-01-17,Nevada,130.44925124792013
2021-01-24,Nevada,121.13144758735442
2021-01-31,Nevada,65.22462562396007
2021-02-07,Nevada,55.90682196339435
2021-02-14,Nevada,55.90682196339435
2021-02-21,Nevada,65.22462562396007
2021-02-28,Nevada,74.5424292845258
2021-03-07,Nevada,74.5424292845258
2021-03-14,Nevada,74.5424292845258
2021-03-21,Nevada,102.49584026622297
2021-03-28,Nevada,93.17803660565724
2021-04-04,Nevada,55.90682196339435
2021-04-11,Nevada,130.44925124792013
2021-04-18,Nevada,93.17803660565724
2021-04-25,Nevada,0.0
2021-05-02,Nevada,65.22462562396007
2021-05-09,Nevada,55.90682196339435
2021-05-16,Nevada,65.22462562396007
2021-05-23,Nevada,111.8136439267887
2021-05-30,Nevada,55.90682196339435
2021-06-06,Nevada,74.5424292845258
2021-06-13,Nevada,0.0
2021-06-20,Nevada,46.58901830282862
2021-06-27,Nevada,37.2712146422629
2021-07-04,Nevada,65.22462562396007
2021-07-11,Nevada,0.0
2021-07-18,Nevada,37.2712146422629
2021-07-25,Nevada,83.86023294509152
2021-08-08,Nevada,65.22462562396007
2021-08-15,Nevada,0.0
2021-08-22,Nevada,65.22462562396007
2021-08-29,Nevada,83.86023294509152
2021-09-05,Nevada,83.86023294509152
2021-09-12,Nevada,0.0
2021-09-19,Nevada,65.22462562396007
2021-09-26,Nevada,55.90682196339435
2021-10-03,Nevada,0.0
2021-10-10,Nevada,0.0
2021-10-17,Nevada,0.0
2021-10-24,Nevada,0.0
2021-10-31,Nevada,0.0
2021-11-07,Nevada,0.0
2021-11-14,Nevada,0.0
2021-11-21,Nevada,0.0
2021-11-28,Nevada,0.0
2021-12-05,Nevada,37.2712146422629
2021-12-12,Nevada,0.0
2021-12-19,Nevada,0.0
2021-12-26,Nevada,0.0
2021-01-01,Nevada,100.0
2021-02-01,Nevada,67.0
2021-03-01,Nevada,87.0
2021-04-01,Nevada,77.0
2021-05-01,Nevada,75.0
2021-06-01,Nevada,47.0
2021-07-01,Nevada,55.0
2021-08-01,Nevada,56.0
2021-09-01,Nevada,51.0
2021-10-01,Nevada,17.0
2021-11-01,Nevada,20.0
2021-12-01,Nevada,17.0
2022-01-01,Nevada,34.0
2022-02-01,Nevada,24.0
2022-03-01,Nevada,21.0
2022-04-01,Nevada,22.0
2022-05-01,Nevada,11.0
